session_id,timestamp,robot_id,type,campaign_id,duration_s,outcome,converted
S-001960,2026-06-03 17:26:00,R-09,qr_scan,C-BRANDX,35,error,false
S-001684,2026-06-02 13:00:00,R-08,screen_tap,,30,completed,false
S-001813,2026-06-09 20:27:00,R-08,qr_scan,C-BRANDX,44,abandoned,true
S-001555,2026-06-03 12:29:00,R-07,screen_tap,,4,completed,false
S-001163,2026-06-10 19:26:00,R-05,qr_scan,C-PROMO1,68,completed,false
S-000969,2026-06-13 15:25:00,R-04,voice_chat,,86,completed,false
S-000990,2026-06-14 17:13:00,R-04,screen_tap,,31,error,false
S-002174,2026-06-01 10:42:00,R-10,qr_scan,C-VENUE,5,completed,true
S-001804,2026-06-09 16:19:00,R-08,qr_scan,C-PROMO1,83,completed,false
S-002209,2026-06-02 16:34:00,R-10,screen_tap,,73,abandoned,false
S-002016,2026-06-06 18:43:00,R-09,screen_tap,,10,completed,false
S-000036,2026-06-02 18:56:00,R-01,screen_tap,,63,completed,false
S-001789,2026-06-08 17:23:00,R-08,screen_tap,,45,completed,false
S-000419,2026-06-10 10:59:00,R-02,screen_tap,,68,error,false
S-000784,2026-06-02 10:54:00,R-04,qr_scan,C-PROMO2,61,error,true
S-000378,2026-06-07 20:01:00,R-02,qr_scan,C-BRANDX,47,abandoned,true
S-001493,2026-06-14 11:02:00,R-06,voice_chat,,63,completed,false
S-002252,2026-06-04 19:15:00,R-10,screen_tap,,23,abandoned,false
S-000765,2026-06-14 19:24:00,R-03,screen_tap,,24,completed,false
S-000740,2026-06-13 21:52:00,R-03,voice_chat,,11,completed,false
S-000503,2026-06-14 17:31:00,R-02,voice_chat,,54,completed,false
S-000164,2026-06-09 21:44:00,R-01,screen_tap,,9,completed,false
S-000574,2026-06-04 15:52:00,R-03,qr_scan,C-PROMO1,20,error,false
S-001373,2026-06-07 17:12:00,R-06,qr_scan,C-PROMO1,61,completed,false
S-001054,2026-06-04 16:11:00,R-05,qr_scan,C-VENUE,47,completed,false
S-000795,2026-06-02 18:54:00,R-04,screen_tap,,30,completed,false
S-000188,2026-06-11 12:08:00,R-01,qr_scan,C-PROMO2,68,completed,true
S-000375,2026-06-07 17:18:00,R-02,qr_scan,C-VENUE,44,completed,true
S-000228,2026-06-13 16:42:00,R-01,voice_chat,,34,completed,false
S-001763,2026-06-07 10:30:00,R-08,screen_tap,,15,completed,false
S-002255,2026-06-04 21:30:00,R-10,qr_scan,C-VENUE,64,completed,false
S-002308,2026-06-08 15:50:00,R-10,screen_tap,,64,completed,false
S-001174,2026-06-11 14:54:00,R-05,qr_scan,C-VENUE,46,completed,true
S-000045,2026-06-03 16:49:00,R-01,qr_scan,C-BRANDX,31,abandoned,true
S-001001,2026-06-01 14:48:00,R-05,screen_tap,,9,completed,false
S-000011,2026-06-01 18:27:00,R-01,qr_scan,C-PROMO2,71,completed,false
S-001961,2026-06-03 18:59:00,R-09,voice_chat,,44,completed,false
S-001870,2026-06-12 18:55:00,R-08,qr_scan,C-PROMO2,48,completed,false
S-002057,2026-06-09 11:12:00,R-09,voice_chat,,33,completed,false
S-001859,2026-06-12 11:44:00,R-08,qr_scan,C-VENUE,18,completed,false
S-001606,2026-06-06 11:53:00,R-07,qr_scan,C-VENUE,88,completed,false
S-000715,2026-06-11 19:55:00,R-03,qr_scan,C-PROMO2,77,completed,false
S-001371,2026-06-07 16:37:00,R-06,qr_scan,C-VENUE,33,error,false
S-001637,2026-06-08 10:05:00,R-07,qr_scan,C-PROMO2,42,completed,false
S-001983,2026-06-05 10:13:00,R-09,voice_chat,,49,completed,false
S-000558,2026-06-03 19:36:00,R-03,voice_chat,,74,completed,false
S-000634,2026-06-07 16:31:00,R-03,qr_scan,C-BRANDX,33,abandoned,false
S-001601,2026-06-05 21:15:00,R-07,screen_tap,,83,completed,false
S-001909,2026-06-14 21:31:00,R-08,screen_tap,,63,completed,false
S-000942,2026-06-11 20:44:00,R-04,voice_chat,,22,completed,false
S-000499,2026-06-14 15:04:00,R-02,qr_scan,C-PROMO2,27,completed,true
S-000957,2026-06-12 17:40:00,R-04,qr_scan,C-PROMO1,49,completed,false
S-001712,2026-06-03 16:41:00,R-08,voice_chat,,15,completed,false
S-001795,2026-06-09 10:25:00,R-08,qr_scan,C-PROMO2,64,error,false
S-001293,2026-06-04 10:53:00,R-06,screen_tap,,13,completed,false
S-001761,2026-06-06 18:58:00,R-08,voice_chat,,46,completed,false
S-001435,2026-06-11 10:00:00,R-06,qr_scan,C-VENUE,30,completed,false
S-001548,2026-06-03 10:10:00,R-07,qr_scan,C-PROMO2,56,completed,false
S-000162,2026-06-09 19:38:00,R-01,voice_chat,,11,completed,false
S-000279,2026-06-02 10:43:00,R-02,qr_scan,C-PROMO2,56,completed,true
S-000879,2026-06-07 16:18:00,R-04,voice_chat,,35,completed,false
S-001188,2026-06-11 21:42:00,R-05,qr_scan,C-PROMO1,74,abandoned,false
S-002025,2026-06-07 14:31:00,R-09,qr_scan,C-PROMO1,62,abandoned,false
S-002170,2026-06-14 20:55:00,R-09,screen_tap,,69,completed,false
S-001999,2026-06-05 20:49:00,R-09,qr_scan,C-VENUE,61,completed,false
S-002406,2026-06-13 19:35:00,R-10,voice_chat,,16,completed,false
S-001946,2026-06-02 21:34:00,R-09,qr_scan,C-BRANDX,36,completed,false
S-001492,2026-06-14 11:42:00,R-06,screen_tap,,14,completed,false
S-002173,2026-06-14 21:48:00,R-09,screen_tap,,72,completed,false
S-002389,2026-06-12 18:39:00,R-10,screen_tap,,85,completed,false
S-002172,2026-06-14 21:20:00,R-09,voice_chat,,47,completed,false
S-000307,2026-06-03 15:37:00,R-02,voice_chat,,90,completed,false
S-001271,2026-06-02 14:58:00,R-06,qr_scan,C-VENUE,86,completed,true
S-001361,2026-06-07 10:45:00,R-06,qr_scan,C-VENUE,63,completed,false
S-002058,2026-06-09 11:34:00,R-09,qr_scan,C-PROMO2,42,completed,false
S-001776,2026-06-07 16:02:00,R-08,voice_chat,,59,completed,false
S-002219,2026-06-02 20:58:00,R-10,screen_tap,,17,error,false
S-001657,2026-06-01 12:56:00,R-08,voice_chat,,40,completed,false
S-001817,2026-06-10 10:26:00,R-08,screen_tap,,48,completed,false
S-001914,2026-06-01 11:21:00,R-09,voice_chat,,16,abandoned,false
S-001044,2026-06-03 20:49:00,R-05,qr_scan,C-BRANDX,14,completed,false
S-001092,2026-06-06 17:47:00,R-05,qr_scan,C-PROMO1,35,abandoned,false
S-001130,2026-06-09 12:16:00,R-05,qr_scan,C-PROMO1,6,completed,false
S-001089,2026-06-06 14:52:00,R-05,qr_scan,C-PROMO1,42,completed,false
S-000820,2026-06-04 11:45:00,R-04,qr_scan,C-BRANDX,11,completed,true
S-000465,2026-06-12 19:34:00,R-02,qr_scan,C-BRANDX,84,abandoned,false
S-001061,2026-06-04 19:23:00,R-05,qr_scan,C-BRANDX,19,completed,false
S-001737,2026-06-04 21:20:00,R-08,voice_chat,,25,error,false
S-002144,2026-06-13 19:23:00,R-09,qr_scan,C-PROMO1,72,abandoned,false
S-001077,2026-06-05 17:20:00,R-05,qr_scan,C-VENUE,13,completed,false
S-000081,2026-06-05 13:15:00,R-01,qr_scan,C-PROMO1,11,completed,false
S-000766,2026-06-14 21:27:00,R-03,qr_scan,C-VENUE,74,completed,false
S-000582,2026-06-04 18:13:00,R-03,screen_tap,,24,completed,false
S-000526,2026-06-01 16:37:00,R-03,voice_chat,,36,completed,false
S-002286,2026-06-07 14:48:00,R-10,qr_scan,C-VENUE,67,completed,false
S-002257,2026-06-06 10:23:00,R-10,voice_chat,,39,completed,false
S-000059,2026-06-04 13:09:00,R-01,screen_tap,,58,abandoned,false
S-000909,2026-06-09 12:47:00,R-04,qr_scan,C-BRANDX,27,completed,false
S-001478,2026-06-13 13:15:00,R-06,screen_tap,,70,abandoned,false
S-002352,2026-06-10 21:14:00,R-10,screen_tap,,39,abandoned,false
S-001119,2026-06-08 17:37:00,R-05,qr_scan,C-VENUE,27,completed,true
S-001379,2026-06-07 21:38:00,R-06,qr_scan,C-PROMO2,35,completed,false
S-001790,2026-06-08 17:19:00,R-08,qr_scan,C-VENUE,17,completed,false
S-002411,2026-06-14 10:01:00,R-10,voice_chat,,22,completed,false
S-001314,2026-06-04 19:28:00,R-06,screen_tap,,72,completed,false
S-000953,2026-06-12 16:47:00,R-04,voice_chat,,56,completed,false
S-001277,2026-06-02 20:59:00,R-06,screen_tap,,26,completed,false
S-001142,2026-06-09 18:02:00,R-05,screen_tap,,50,completed,false
S-001882,2026-06-13 15:31:00,R-08,qr_scan,C-PROMO1,86,completed,true
S-000994,2026-06-14 19:04:00,R-04,screen_tap,,61,completed,false
S-000193,2026-06-11 15:31:00,R-01,screen_tap,,34,abandoned,false
S-000945,2026-06-12 11:32:00,R-04,qr_scan,C-PROMO2,73,error,false
S-001581,2026-06-04 19:02:00,R-07,qr_scan,C-BRANDX,59,abandoned,false
S-000471,2026-06-13 11:21:00,R-02,qr_scan,C-BRANDX,88,completed,true
S-000220,2026-06-13 10:51:00,R-01,screen_tap,,60,completed,false
S-000971,2026-06-13 15:18:00,R-04,screen_tap,,34,completed,false
S-000474,2026-06-13 14:49:00,R-02,screen_tap,,3,completed,false
S-000732,2026-06-13 11:43:00,R-03,qr_scan,C-VENUE,49,completed,false
S-000868,2026-06-06 21:47:00,R-04,voice_chat,,51,completed,false
S-000381,2026-06-08 11:50:00,R-02,voice_chat,,84,completed,false
S-000200,2026-06-11 20:12:00,R-01,qr_scan,C-PROMO1,25,completed,false
S-001143,2026-06-09 18:22:00,R-05,qr_scan,C-BRANDX,52,completed,false
S-002246,2026-06-04 16:29:00,R-10,qr_scan,C-PROMO1,57,completed,false
S-000464,2026-06-12 19:12:00,R-02,qr_scan,C-PROMO1,30,completed,false
S-000289,2026-06-02 14:21:00,R-02,qr_scan,C-PROMO2,30,abandoned,false
S-000719,2026-06-11 20:43:00,R-03,qr_scan,C-PROMO2,81,completed,true
S-001611,2026-06-06 15:12:00,R-07,qr_scan,C-PROMO1,6,completed,false
S-000029,2026-06-02 16:48:00,R-01,screen_tap,,71,completed,false
S-002192,2026-06-01 18:50:00,R-10,screen_tap,,87,abandoned,false
S-001227,2026-06-13 20:20:00,R-05,screen_tap,,7,completed,false
S-000861,2026-06-06 17:13:00,R-04,qr_scan,C-PROMO1,46,abandoned,false
S-001523,2026-06-01 15:36:00,R-07,screen_tap,,62,completed,false
S-002147,2026-06-13 20:09:00,R-09,screen_tap,,74,completed,false
S-000344,2026-06-05 20:17:00,R-02,qr_scan,C-VENUE,64,completed,false
S-001131,2026-06-09 12:12:00,R-05,qr_scan,C-PROMO2,45,completed,false
S-000473,2026-06-13 12:28:00,R-02,qr_scan,C-BRANDX,88,completed,false
S-000614,2026-06-06 14:53:00,R-03,qr_scan,C-BRANDX,19,completed,true
S-000586,2026-06-04 19:17:00,R-03,qr_scan,C-PROMO1,29,completed,false
S-000937,2026-06-11 15:09:00,R-04,screen_tap,,33,abandoned,false
S-002343,2026-06-10 16:05:00,R-10,screen_tap,,46,completed,false
S-000901,2026-06-08 19:20:00,R-04,qr_scan,C-BRANDX,56,error,true
S-000485,2026-06-13 18:05:00,R-02,qr_scan,C-BRANDX,17,completed,false
S-000751,2026-06-14 14:34:00,R-03,qr_scan,C-BRANDX,10,completed,false
S-001084,2026-06-06 12:32:00,R-05,voice_chat,,18,completed,false
S-000502,2026-06-14 17:24:00,R-02,qr_scan,C-PROMO1,51,completed,false
S-002105,2026-06-11 18:29:00,R-09,screen_tap,,44,completed,false
S-001237,2026-06-14 14:43:00,R-05,qr_scan,C-VENUE,54,completed,true
S-002374,2026-06-11 20:22:00,R-10,qr_scan,C-PROMO1,52,completed,true
S-001179,2026-06-11 16:37:00,R-05,qr_scan,C-PROMO2,80,completed,true
S-000834,2026-06-05 10:51:00,R-04,qr_scan,C-PROMO2,19,abandoned,false
S-002379,2026-06-12 11:16:00,R-10,qr_scan,C-PROMO1,57,completed,true
S-000374,2026-06-07 16:22:00,R-02,voice_chat,,37,abandoned,false
S-000093,2026-06-05 21:30:00,R-01,qr_scan,C-PROMO2,36,completed,false
S-002012,2026-06-06 16:06:00,R-09,voice_chat,,27,completed,false
S-001183,2026-06-11 18:57:00,R-05,voice_chat,,4,completed,false
S-001213,2026-06-13 15:24:00,R-05,qr_scan,C-BRANDX,23,completed,false
S-001794,2026-06-08 20:49:00,R-08,voice_chat,,11,abandoned,false
S-001851,2026-06-11 15:39:00,R-08,qr_scan,C-PROMO1,84,completed,false
S-001871,2026-06-12 19:36:00,R-08,qr_scan,C-PROMO1,42,completed,false
S-000570,2026-06-04 12:27:00,R-03,screen_tap,,59,completed,false
S-000750,2026-06-14 14:40:00,R-03,screen_tap,,38,completed,false
S-000261,2026-06-01 13:45:00,R-02,qr_scan,C-BRANDX,38,error,true
S-000316,2026-06-04 14:42:00,R-02,qr_scan,C-PROMO1,9,completed,true
S-000518,2026-06-01 13:45:00,R-03,qr_scan,C-VENUE,32,abandoned,false
S-001951,2026-06-03 12:37:00,R-09,screen_tap,,44,completed,false
S-001406,2026-06-09 17:48:00,R-06,qr_scan,C-VENUE,89,completed,false
S-000207,2026-06-12 17:39:00,R-01,voice_chat,,84,completed,false
S-002023,2026-06-07 13:47:00,R-09,qr_scan,C-VENUE,29,completed,false
S-002111,2026-06-11 20:16:00,R-09,screen_tap,,84,abandoned,false
S-001534,2026-06-02 11:59:00,R-07,screen_tap,,3,completed,false
S-000598,2026-06-05 13:29:00,R-03,voice_chat,,38,completed,false
S-001854,2026-06-11 17:13:00,R-08,voice_chat,,49,completed,false
S-001000,2026-06-01 12:52:00,R-05,qr_scan,C-BRANDX,89,abandoned,false
S-001296,2026-06-04 11:41:00,R-06,screen_tap,,56,abandoned,false
S-000405,2026-06-09 14:31:00,R-02,qr_scan,C-PROMO2,31,abandoned,false
S-000399,2026-06-09 11:31:00,R-02,qr_scan,C-VENUE,55,error,true
S-001867,2026-06-12 16:55:00,R-08,screen_tap,,16,abandoned,false
S-001786,2026-06-08 13:33:00,R-08,qr_scan,C-BRANDX,81,abandoned,false
S-000537,2026-06-02 12:50:00,R-03,voice_chat,,27,error,false
S-000825,2026-06-04 14:54:00,R-04,qr_scan,C-VENUE,53,completed,true
S-002003,2026-06-06 11:53:00,R-09,voice_chat,,53,completed,false
S-001792,2026-06-08 19:51:00,R-08,qr_scan,C-BRANDX,78,abandoned,false
S-001741,2026-06-05 14:03:00,R-08,voice_chat,,56,completed,false
S-001372,2026-06-07 16:13:00,R-06,voice_chat,,65,completed,false
S-001801,2026-06-09 15:49:00,R-08,qr_scan,C-PROMO2,50,completed,false
S-000233,2026-06-13 19:46:00,R-01,qr_scan,C-PROMO2,78,abandoned,false
S-000372,2026-06-07 13:29:00,R-02,qr_scan,C-PROMO1,19,completed,false
S-002153,2026-06-14 11:04:00,R-09,screen_tap,,68,completed,false
S-000334,2026-06-05 15:37:00,R-02,screen_tap,,50,abandoned,false
S-001895,2026-06-14 13:56:00,R-08,voice_chat,,76,completed,false
S-002018,2026-06-06 20:52:00,R-09,qr_scan,C-PROMO2,11,completed,true
S-001135,2026-06-09 14:44:00,R-05,voice_chat,,47,completed,false
S-002206,2026-06-02 14:26:00,R-10,qr_scan,C-BRANDX,56,completed,false
S-001838,2026-06-10 19:56:00,R-08,screen_tap,,25,completed,false
S-002186,2026-06-01 16:25:00,R-10,screen_tap,,5,completed,false
S-000837,2026-06-05 11:31:00,R-04,qr_scan,C-PROMO1,81,abandoned,true
S-002385,2026-06-12 16:23:00,R-10,qr_scan,C-PROMO1,69,completed,true
S-002264,2026-06-06 15:23:00,R-10,qr_scan,C-BRANDX,30,abandoned,false
S-001827,2026-06-10 14:16:00,R-08,voice_chat,,42,completed,false
S-002051,2026-06-08 20:21:00,R-09,screen_tap,,87,abandoned,false
S-002039,2026-06-08 12:16:00,R-09,screen_tap,,60,completed,false
S-002163,2026-06-14 16:56:00,R-09,qr_scan,C-BRANDX,8,completed,false
S-000989,2026-06-14 10:24:00,R-04,qr_scan,C-VENUE,10,completed,false
S-001504,2026-06-14 18:17:00,R-06,screen_tap,,84,abandoned,false
S-001573,2026-06-04 13:05:00,R-07,qr_scan,C-BRANDX,42,completed,false
S-000274,2026-06-01 20:41:00,R-02,qr_scan,C-PROMO1,16,error,false
S-000341,2026-06-05 17:28:00,R-02,qr_scan,C-VENUE,46,error,true
S-001111,2026-06-08 10:30:00,R-05,screen_tap,,66,completed,false
S-000152,2026-06-09 15:32:00,R-01,voice_chat,,49,completed,false
S-000771,2026-06-01 11:29:00,R-04,qr_scan,C-VENUE,69,completed,true
S-000006,2026-06-01 15:30:00,R-01,screen_tap,,6,completed,false
S-001944,2026-06-02 19:00:00,R-09,voice_chat,,8,completed,false
S-001383,2026-06-08 11:30:00,R-06,qr_scan,C-PROMO2,8,error,false
S-000840,2026-06-05 13:18:00,R-04,qr_scan,C-VENUE,41,completed,false
S-001663,2026-06-01 15:25:00,R-08,qr_scan,C-VENUE,90,abandoned,true
S-001571,2026-06-04 12:57:00,R-07,qr_scan,C-BRANDX,47,completed,false
S-001047,2026-06-04 10:43:00,R-05,screen_tap,,5,completed,false
S-000918,2026-06-09 21:25:00,R-04,screen_tap,,84,completed,false
S-000281,2026-06-02 11:41:00,R-02,qr_scan,C-BRANDX,39,abandoned,false
S-000749,2026-06-14 12:20:00,R-03,voice_chat,,63,abandoned,false
S-001648,2026-06-08 16:06:00,R-07,screen_tap,,85,completed,false
S-000589,2026-06-04 21:03:00,R-03,qr_scan,C-VENUE,85,error,true
S-000178,2026-06-10 17:57:00,R-01,qr_scan,C-PROMO1,66,abandoned,true
S-001048,2026-06-04 11:30:00,R-05,screen_tap,,50,completed,false
S-000596,2026-06-05 13:08:00,R-03,qr_scan,C-BRANDX,13,completed,false
S-002071,2026-06-09 19:15:00,R-09,screen_tap,,81,abandoned,false
S-000157,2026-06-09 17:22:00,R-01,voice_chat,,25,abandoned,false
S-000210,2026-06-12 18:50:00,R-01,screen_tap,,85,completed,false
S-000930,2026-06-10 18:31:00,R-04,screen_tap,,25,completed,false
S-001200,2026-06-12 15:11:00,R-05,voice_chat,,60,completed,false
S-002061,2026-06-09 12:45:00,R-09,voice_chat,,52,completed,false
S-002377,2026-06-11 21:58:00,R-10,qr_scan,C-BRANDX,64,completed,false
S-001720,2026-06-04 11:55:00,R-08,qr_scan,C-VENUE,39,abandoned,false
S-000242,2026-06-14 11:57:00,R-01,qr_scan,C-PROMO2,41,completed,false
S-000232,2026-06-13 17:57:00,R-01,qr_scan,C-VENUE,56,completed,false
S-001427,2026-06-10 18:43:00,R-06,qr_scan,C-VENUE,80,completed,false
S-000385,2026-06-08 12:43:00,R-02,qr_scan,C-VENUE,64,completed,true
S-000648,2026-06-08 11:35:00,R-03,qr_scan,C-BRANDX,19,completed,false
S-002024,2026-06-07 14:27:00,R-09,qr_scan,C-PROMO1,78,error,false
S-000535,2026-06-02 11:25:00,R-03,screen_tap,,5,abandoned,false
S-001627,2026-06-07 18:30:00,R-07,voice_chat,,82,completed,false
S-000333,2026-06-05 13:46:00,R-02,qr_scan,C-PROMO1,63,abandoned,false
S-000999,2026-06-01 12:10:00,R-05,screen_tap,,41,completed,false
S-000167,2026-06-10 10:13:00,R-01,qr_scan,C-PROMO2,34,abandoned,false
S-001682,2026-06-02 12:23:00,R-08,voice_chat,,84,completed,false
S-001264,2026-06-01 21:31:00,R-06,voice_chat,,33,error,false
S-000285,2026-06-02 13:08:00,R-02,screen_tap,,67,completed,false
S-002361,2026-06-11 13:47:00,R-10,screen_tap,,83,completed,false
S-001883,2026-06-13 15:16:00,R-08,qr_scan,C-PROMO1,15,completed,false
S-001642,2026-06-08 12:16:00,R-07,qr_scan,C-PROMO1,78,completed,false
S-001334,2026-06-06 10:26:00,R-06,screen_tap,,10,completed,false
S-001937,2026-06-02 14:22:00,R-09,screen_tap,,6,completed,false
S-000097,2026-06-06 13:09:00,R-01,voice_chat,,69,error,false
S-001717,2026-06-03 20:37:00,R-08,qr_scan,C-PROMO2,5,completed,false
S-002231,2026-06-03 17:06:00,R-10,screen_tap,,64,completed,false
S-000272,2026-06-01 19:50:00,R-02,voice_chat,,40,completed,false
S-001753,2026-06-06 12:31:00,R-08,screen_tap,,51,completed,false
S-001113,2026-06-08 12:47:00,R-05,screen_tap,,4,completed,false
S-002399,2026-06-13 11:33:00,R-10,screen_tap,,44,completed,false
S-001767,2026-06-07 12:34:00,R-08,voice_chat,,62,error,false
S-001665,2026-06-01 17:18:00,R-08,qr_scan,C-VENUE,58,error,true
S-001635,2026-06-08 10:52:00,R-07,screen_tap,,10,abandoned,false
S-001351,2026-06-06 18:55:00,R-06,screen_tap,,15,error,false
S-001420,2026-06-10 13:30:00,R-06,qr_scan,C-BRANDX,83,completed,true
S-000226,2026-06-13 15:40:00,R-01,qr_scan,C-VENUE,76,completed,false
S-000255,2026-06-01 10:15:00,R-02,voice_chat,,66,completed,false
S-001357,2026-06-06 20:05:00,R-06,qr_scan,C-PROMO2,41,completed,true
S-002381,2026-06-12 12:07:00,R-10,qr_scan,C-BRANDX,45,completed,true
S-001266,2026-06-02 12:18:00,R-06,screen_tap,,15,completed,false
S-001065,2026-06-04 20:34:00,R-05,qr_scan,C-VENUE,5,completed,false
S-002291,2026-06-07 16:13:00,R-10,screen_tap,,89,completed,false
S-000404,2026-06-09 14:23:00,R-02,voice_chat,,3,abandoned,false
S-000440,2026-06-10 20:28:00,R-02,screen_tap,,19,abandoned,false
S-000854,2026-06-06 11:05:00,R-04,qr_scan,C-PROMO1,53,completed,false
S-000291,2026-06-02 16:42:00,R-02,screen_tap,,72,completed,false
S-001958,2026-06-03 15:57:00,R-09,qr_scan,C-VENUE,62,abandoned,false
S-000190,2026-06-11 13:43:00,R-01,screen_tap,,3,abandoned,false
S-000705,2026-06-11 11:11:00,R-03,qr_scan,C-PROMO1,69,completed,false
S-000963,2026-06-12 21:35:00,R-04,screen_tap,,30,completed,false
S-000418,2026-06-10 10:15:00,R-02,screen_tap,,4,completed,false
S-002041,2026-06-08 13:33:00,R-09,voice_chat,,89,completed,false
S-000149,2026-06-09 12:09:00,R-01,screen_tap,,87,abandoned,false
S-001112,2026-06-08 11:38:00,R-05,screen_tap,,34,completed,false
S-001169,2026-06-11 10:35:00,R-05,screen_tap,,26,abandoned,false
S-000017,2026-06-01 21:09:00,R-01,screen_tap,,38,completed,false
S-001755,2026-06-06 14:56:00,R-08,qr_scan,C-PROMO1,59,error,true
S-000871,2026-06-07 10:08:00,R-04,qr_scan,C-BRANDX,10,completed,true
S-002119,2026-06-12 14:27:00,R-09,qr_scan,C-VENUE,88,completed,false
S-000384,2026-06-08 12:49:00,R-02,qr_scan,C-PROMO1,18,completed,false
S-002141,2026-06-13 16:31:00,R-09,qr_scan,C-VENUE,38,error,true
S-000050,2026-06-03 21:29:00,R-01,screen_tap,,41,completed,false
S-001295,2026-06-04 10:56:00,R-06,qr_scan,C-BRANDX,53,completed,false
S-002096,2026-06-11 12:18:00,R-09,qr_scan,C-BRANDX,69,completed,false
S-002198,2026-06-02 11:09:00,R-10,screen_tap,,21,completed,false
S-002151,2026-06-14 11:06:00,R-09,qr_scan,C-VENUE,83,completed,false
S-001187,2026-06-11 20:35:00,R-05,screen_tap,,80,error,false
S-002331,2026-06-09 20:42:00,R-10,qr_scan,C-PROMO1,24,abandoned,true
S-001995,2026-06-05 19:16:00,R-09,screen_tap,,3,completed,false
S-000023,2026-06-02 12:51:00,R-01,qr_scan,C-PROMO1,27,completed,false
S-000254,2026-06-01 10:25:00,R-02,qr_scan,C-BRANDX,52,completed,false
S-002047,2026-06-08 18:59:00,R-09,screen_tap,,24,abandoned,false
S-001509,2026-06-14 20:06:00,R-06,qr_scan,C-BRANDX,57,completed,true
S-001922,2026-06-01 14:17:00,R-09,screen_tap,,3,completed,false
S-000789,2026-06-02 15:24:00,R-04,voice_chat,,16,completed,false
S-000422,2026-06-10 13:46:00,R-02,qr_scan,C-VENUE,43,abandoned,false
S-001275,2026-06-02 19:23:00,R-06,qr_scan,C-VENUE,18,completed,false
S-001702,2026-06-03 11:53:00,R-08,qr_scan,C-VENUE,39,abandoned,false
S-000787,2026-06-02 14:16:00,R-04,qr_scan,C-VENUE,48,completed,false
S-001104,2026-06-07 14:07:00,R-05,voice_chat,,29,abandoned,false
S-000968,2026-06-13 14:00:00,R-04,screen_tap,,84,completed,false
S-002158,2026-06-14 13:33:00,R-09,qr_scan,C-VENUE,71,abandoned,false
S-001241,2026-06-14 16:00:00,R-05,qr_scan,C-PROMO1,39,abandoned,true
S-000557,2026-06-03 17:45:00,R-03,voice_chat,,69,completed,false
S-001545,2026-06-02 19:59:00,R-07,qr_scan,C-VENUE,13,abandoned,false
S-001743,2026-06-05 15:21:00,R-08,screen_tap,,24,abandoned,false
S-001644,2026-06-08 13:03:00,R-07,screen_tap,,12,completed,false
S-000638,2026-06-07 18:40:00,R-03,qr_scan,C-PROMO1,64,completed,false
S-000104,2026-06-06 20:32:00,R-01,qr_scan,C-PROMO2,28,completed,true
S-001929,2026-06-01 21:09:00,R-09,voice_chat,,65,error,false
S-001655,2026-06-01 10:48:00,R-08,screen_tap,,32,completed,false
S-000674,2026-06-09 12:41:00,R-03,screen_tap,,82,completed,false
S-001764,2026-06-07 10:38:00,R-08,qr_scan,C-PROMO2,19,error,true
